k,f,name,E_semi,T_semi,obj_semi,E_active,T_active,obj_active,dE,dT,dObj
1,5,"Instance_100_5_3_0,2_0,2_20_Rep2",14351,25103,39454,30112,26777,56889,15761,1674,17435
1,5,"Instance_100_5_3_0,2_0,2_20_Rep3",13269,18301,31570,35176,17228,52404,21907,-1073,20834
1,5,"Instance_100_5_3_0,2_0,2_20_Rep4",6584,12178,18762,42965,14697,57662,36381,2519,38900
1,5,"Instance_100_5_3_0,2_0,6_10_Rep0",5821,6076,11897,21717,7215,28932,15896,1139,17035
1,5,"Instance_100_5_3_0,2_0,6_10_Rep1",2318,7125,9443,13869,9634,23503,11551,2509,14060
1,5,"Instance_100_5_3_0,2_0,6_10_Rep2",2376,4578,6954,8243,11108,19351,5867,6530,12397
1,5,"Instance_100_5_3_0,2_0,6_10_Rep3",9360,10600,19960,16632,10780,27412,7272,180,7452
1,5,"Instance_100_5_3_0,2_0,6_10_Rep4",7945,8572,16517,30239,7331,37570,22294,-1241,21053
1,5,"Instance_100_5_3_0,2_0,6_20_Rep0",3044,3321,6365,10203,6404,16607,7159,3083,10242
1,5,"Instance_100_5_3_0,2_0,6_20_Rep1",2045,1760,3805,9529,2418,11947,7484,658,8142
1,5,"Instance_100_5_3_0,2_0,6_20_Rep2",0,0,0,6652,3806,10458,6652,3806,10458
1,5,"Instance_100_5_3_0,2_0,6_20_Rep3",3746,3427,7173,6789,5598,12387,3043,2171,5214
1,5,"Instance_100_5_3_0,2_0,6_20_Rep4",5212,3795,9007,16173,8499,24672,10961,4704,15665
1,5,"Instance_100_5_3_0,2_1_10_Rep0",483,891,1374,888,807,1695,405,-84,321
1,5,"Instance_100_5_3_0,2_1_10_Rep1",1734,490,2224,1967,955,2922,233,465,698
1,5,"Instance_100_5_3_0,2_1_10_Rep2",0,0,0,561,444,1005,561,444,1005
1,5,"Instance_100_5_3_0,2_1_10_Rep3",198,678,876,1425,809,2234,1227,131,1358
1,5,"Instance_100_5_3_0,2_1_10_Rep4",415,42,457,1898,564,2462,1483,522,2005
1,5,"Instance_100_5_3_0,2_1_20_Rep0",0,0,0,1774,144,1918,1774,144,1918
1,5,"Instance_100_5_3_0,2_1_20_Rep1",0,0,0,5117,1613,6730,5117,1613,6730
1,5,"Instance_100_5_3_0,2_1_20_Rep2",0,0,0,362,542,904,362,542,904
1,5,"Instance_100_5_3_0,2_1_20_Rep3",0,0,0,739,250,989,739,250,989
1,5,"Instance_100_5_3_0,2_1_20_Rep4",0,0,0,853,1044,1897,853,1044,1897
1,5,"Instance_100_5_3_0,4_0,2_10_Rep0",8030,69031,77061,30045,71961,102006,22015,2930,24945
1,5,"Instance_100_5_3_0,4_0,2_10_Rep1",12126,58683,70809,24381,59101,83482,12255,418,12673
1,5,"Instance_100_5_3_0,4_0,2_10_Rep2",12619,64027,76646,27024,70318,97342,14405,6291,20696
1,5,"Instance_100_5_3_0,4_0,2_10_Rep3",15377,43642,59019,41290,40981,82271,25913,-2661,23252
1,5,"Instance_100_5_3_0,4_0,2_10_Rep4",12339,33118,45457,36229,32488,68717,23890,-630,23260
1,5,"Instance_100_5_3_0,4_0,2_20_Rep0",10538,44625,55163,29373,42644,72017,18835,-1981,16854
1,5,"Instance_100_5_3_0,4_0,2_20_Rep1",6866,45448,52314,20030,46681,66711,13164,1233,14397
1,5,"Instance_100_5_3_0,4_0,2_20_Rep2",12647,49061,61708,30529,47501,78030,17882,-1560,16322
1,5,"Instance_100_5_3_0,4_0,2_20_Rep3",8114,46106,54220,25697,44533,70230,17583,-1573,16010
1,5,"Instance_100_5_3_0,4_0,2_20_Rep4",6741,66254,72995,29753,56848,86601,23012,-9406,13606
1,5,"Instance_100_5_3_0,4_0,6_10_Rep0",3919,10935,14854,18820,11981,30801,14901,1046,15947
1,5,"Instance_100_5_3_0,4_0,6_10_Rep1",1692,47603,49295,10163,40518,50681,8471,-7085,1386
1,5,"Instance_100_5_3_0,4_0,6_10_Rep2",3103,18574,21677,8545,50491,59036,5442,31917,37359
1,5,"Instance_100_5_3_0,4_0,6_10_Rep3",2185,18105,20290,25322,18211,43533,23137,106,23243
1,5,"Instance_100_5_3_0,4_0,6_10_Rep4",7653,13923,21576,7217,14588,21805,-436,665,229
1,5,"Instance_100_5_3_0,4_0,6_20_Rep0",3907,30048,33955,15030,26959,41989,11123,-3089,8034
1,5,"Instance_100_5_3_0,4_0,6_20_Rep1",3042,6359,9401,18746,5328,24074,15704,-1031,14673
1,5,"Instance_100_5_3_0,4_0,6_20_Rep2",2033,10127,12160,18781,11366,30147,16748,1239,17987
1,5,"Instance_100_5_3_0,4_0,6_20_Rep3",1562,26304,27866,10986,26555,37541,9424,251,9675
1,5,"Instance_100_5_3_0,4_0,6_20_Rep4",1073,30063,31136,12661,27153,39814,11588,-2910,8678
1,5,"Instance_100_5_3_0,4_1_10_Rep0",1027,2787,3814,1032,1390,2422,5,-1397,-1392
1,5,"Instance_100_5_3_0,4_1_10_Rep1",637,30954,31591,1088,29950,31038,451,-1004,-553
1,5,"Instance_100_5_3_0,4_1_10_Rep2",0,5063,5063,1260,5457,6717,1260,394,1654
1,5,"Instance_100_5_3_0,4_1_10_Rep3",222,18722,18944,1348,18162,19510,1126,-560,566
1,5,"Instance_100_5_3_0,4_1_10_Rep4",172,13808,13980,703,10620,11323,531,-3188,-2657
1,5,"Instance_100_5_3_0,4_1_20_Rep0",0,857,857,576,769,1345,576,-88,488
1,5,"Instance_100_5_3_0,4_1_20_Rep1",354,7583,7937,91,12676,12767,-263,5093,4830
1,5,"Instance_100_5_3_0,4_1_20_Rep2",0,18600,18600,991,18779,19770,991,179,1170
1,5,"Instance_100_5_3_0,4_1_20_Rep3",0,14176,14176,330,15439,15769,330,1263,1593
1,5,"Instance_100_5_3_0,4_1_20_Rep4",3,12123,12126,297,11061,11358,294,-1062,-768
